sample,t0,offset
5_16_20_24_32_55,1.54069481603907e-09,0.015822218037179453
5_16_20_24_32_60,1.5346143006884615e-09,0.015822052971106906
5_16_20_24_32_65,1.5396495934656316e-09,0.015819963441674387
5_16_20_24_32_70,1.5392312660500343e-09,0.015820137037825775
5_16_20_24_32_75,1.5392312660500343e-09,0.015820137037825775
5_16_20_24_32_80,1.538914520458336e-09,0.015820268479882035
5_16_20_24_32_85,1.5392312660500343e-09,0.015820137037825775
5_16_20_24_32_90,1.539917257758436e-09,0.015819852367215996
5_16_20_24_32_95,1.5392312660500343e-09,0.015820137037825775
5_16_20_24_36_40,1.5232440152684354e-09,0.0162729820937476
5_16_20_24_36_45,1.5387548572455424e-09,0.01582033473640317
5_16_20_24_36_50,1.539979854343998e-09,0.015819826391088383
5_16_20_24_36_55,1.54069481603907e-09,0.015822218037179453
5_16_20_24_36_60,1.5392312660500343e-09,0.015820137037825775
5_16_20_24_36_65,1.5396495934656316e-09,0.015819963441674387
5_16_20_24_36_70,1.5392312660500343e-09,0.015820137037825775
5_16_20_24_36_75,1.5392312660500343e-09,0.015820137037825775
5_16_20_24_36_80,1.538914520458336e-09,0.015820268479882035
5_16_20_24_36_85,1.5392312660500343e-09,0.015820137037825775
5_16_20_24_36_90,1.539917257758436e-09,0.015819852367215996
5_16_20_24_36_95,1.5392312660500343e-09,0.015820137037825775
5_16_20_24_40_45,1.5396961848406362e-09,0.01581994410733698
5_16_20_24_40_50,1.5387247104794278e-09,0.015820347246610238
5_16_20_24_40_55,1.5394623693711688e-09,0.01582004113532066
5_16_20_24_40_60,1.540647426676287e-09,0.01581954936409144
5_16_20_24_40_65,1.5406380124407302e-09,0.01581955327078033
5_16_20_24_40_70,1.540647426676287e-09,0.01581954936409144
5_16_20_24_40_75,1.540647426676287e-09,0.01581954936409144
5_16_20_24_40_80,1.5401173001629004e-09,0.015819769354269132
5_16_20_24_40_85,1.540647426676287e-09,0.01581954936409144
5_16_20_24_40_90,1.5407864280663005e-09,0.01584835488524112
5_16_20_24_40_95,1.540647426676287e-09,0.01581954936409144
5_16_20_24_45_50,1.5387548572455424e-09,0.01582033473640317
5_16_20_24_45_55,1.5387548572455424e-09,0.01582033473640317
5_16_20_24_45_60,1.5387548572455424e-09,0.01582033473640317
5_16_20_24_45_65,1.5396495934656316e-09,0.015819963441674387
5_16_20_24_45_70,1.5387548572455424e-09,0.01582033473640317
5_16_20_24_45_75,1.5387548572455424e-09,0.01582033473640317
5_16_20_24_45_80,1.5387548572455424e-09,0.01582033473640317
5_16_20_24_45_85,1.5387548572455424e-09,0.01582033473640317
5_16_20_24_45_90,1.539917257758436e-09,0.015819852367215996
5_16_20_24_45_95,1.5387548572455424e-09,0.01582033473640317
5_16_20_24_50_55,1.54069481603907e-09,0.015822218037179453
5_16_20_24_50_60,1.539979854343998e-09,0.015819826391088383
5_16_20_24_50_65,1.5396495934656316e-09,0.015819963441674387
5_16_20_24_50_70,1.539979854343998e-09,0.015819826391088383
5_16_20_24_50_75,1.539979854343998e-09,0.015819826391088383
5_16_20_24_50_80,1.538914520458336e-09,0.015820268479882035
5_16_20_24_50_85,1.539979854343998e-09,0.015819826391088383
5_16_20_24_50_90,1.539917257758436e-09,0.015819852367215996
5_16_20_24_50_95,1.539979854343998e-09,0.015819826391088383
5_16_20_24_55_60,1.54069481603907e-09,0.015822218037179453
5_16_20_24_55_65,1.5396495934656316e-09,0.015819963441674387
5_16_20_24_55_70,1.54069481603907e-09,0.015822218037179453
5_16_20_24_55_75,1.54069481603907e-09,0.015822218037179453
5_16_20_24_55_80,1.538914520458336e-09,0.015820268479882035
5_16_20_24_55_85,1.54069481603907e-09,0.015822218037179453
5_16_20_24_55_90,1.539917257758436e-09,0.015819852367215996
5_16_20_24_55_95,1.54069481603907e-09,0.015822218037179453
5_16_20_24_60_65,1.5396495934656316e-09,0.015819963441674387
5_16_20_24_60_70,1.5392312660500343e-09,0.015820137037825775
5_16_20_24_60_75,1.5392312660500343e-09,0.015820137037825775
5_16_20_24_60_80,1.538914520458336e-09,0.015820268479882035
5_16_20_24_60_85,1.5392312660500343e-09,0.015820137037825775
5_16_20_24_60_90,1.539917257758436e-09,0.015819852367215996
5_16_20_24_60_95,1.5392312660500343e-09,0.015820137037825775
5_16_20_24_65_70,1.5396495934656316e-09,0.015819963441674387
5_16_20_24_65_75,1.5396495934656316e-09,0.015819963441674387
5_16_20_24_65_80,1.5396495934656316e-09,0.015819963441674387
5_16_20_24_65_85,1.5396495934656316e-09,0.015819963441674387
5_16_20_24_65_90,1.539917257758436e-09,0.015819852367215996
5_16_20_24_65_95,1.5396495934656316e-09,0.015819963441674387
5_16_20_24_70_75,1.5392312660500343e-09,0.015820137037825775
5_16_20_24_70_80,1.538914520458336e-09,0.015820268479882035
5_16_20_24_70_85,1.5392312660500343e-09,0.015820137037825775
5_16_20_24_70_90,1.539917257758436e-09,0.015819852367215996
5_16_20_24_70_95,1.5392312660500343e-09,0.015820137037825775
5_16_20_24_75_80,1.538914520458336e-09,0.015820268479882035
5_16_20_24_75_85,1.5392312660500343e-09,0.015820137037825775
5_16_20_24_75_90,1.539917257758436e-09,0.015819852367215996
5_16_20_24_75_95,1.5392312660500343e-09,0.015820137037825775
5_16_20_24_80_85,1.538914520458336e-09,0.015820268479882035
5_16_20_24_80_90,1.539917257758436e-09,0.015819852367215996
5_16_20_24_80_95,1.538914520458336e-09,0.015820268479882035
5_16_20_24_85_90,1.539917257758436e-09,0.015819852367215996
5_16_20_24_85_95,1.5392312660500343e-09,0.015820137037825775
5_16_20_24_90_95,1.539917257758436e-09,0.015819852367215996
5_16_20_28_32_36,1.5230718872845296e-09,0.01629058393133373
5_16_20_28_32_40,1.5232440152684354e-09,0.0162729820937476
5_16_20_28_32_45,1.5387548572455424e-09,0.01582033473640317
5_16_20_28_32_50,1.539979854343998e-09,0.015819826391088383
5_16_20_28_32_55,1.54069481603907e-09,0.015822218037179453
5_16_20_28_32_60,1.5392312660500343e-09,0.015820137037825775
5_16_20_28_32_65,1.5396495934656316e-09,0.015819963441674387
5_16_20_28_32_70,1.5392312660500343e-09,0.015820137037825775
5_16_20_28_32_75,1.5392312660500343e-09,0.015820137037825775
5_16_20_28_32_80,1.538914520458336e-09,0.015820268479882035
5_16_20_28_32_85,1.5392312660500343e-09,0.015820137037825775
5_16_20_28_32_90,1.539917257758436e-09,0.015819852367215996
5_16_20_28_32_95,1.5392312660500343e-09,0.015820137037825775
5_16_20_28_36_40,1.5232440152684354e-09,0.0162729820937476
5_16_20_28_36_45,1.5387548572455424e-09,0.01582033473640317
5_16_20_28_36_50,1.539979854343998e-09,0.015819826391088383
5_16_20_28_36_55,1.54069481603907e-09,0.015822218037179453
5_16_20_28_36_60,1.5392312660500343e-09,0.015820137037825775
5_16_20_28_36_65,1.5396495934656316e-09,0.015819963441674387
5_16_20_28_36_70,1.5392312660500343e-09,0.015820137037825775
5_16_20_28_36_75,1.5392312660500343e-09,0.015820137037825775
5_16_20_28_36_80,1.538914520458336e-09,0.015820268479882035
5_16_20_28_36_85,1.5392312660500343e-09,0.015820137037825775
5_16_20_28_36_90,1.539917257758436e-09,0.015819852367215996
5_16_20_28_36_95,1.5392312660500343e-09,0.015820137037825775
5_16_20_28_40_45,1.5396961848406362e-09,0.01581994410733698
5_16_20_28_40_50,1.5387247104794278e-09,0.015820347246610238
5_16_20_28_40_55,1.5394623693711688e-09,0.01582004113532066
5_16_20_28_40_60,1.540647426676287e-09,0.01581954936409144
5_16_20_28_40_65,1.5406380124407302e-09,0.01581955327078033
5_16_20_28_40_70,1.540647426676287e-09,0.01581954936409144
5_16_20_28_40_75,1.540647426676287e-09,0.01581954936409144
5_16_20_28_40_80,1.5401173001629004e-09,0.015819769354269132
5_16_20_28_40_85,1.540647426676287e-09,0.01581954936409144
5_16_20_28_40_90,1.5407864280663005e-09,0.01584835488524112
5_16_20_28_40_95,1.540647426676287e-09,0.01581954936409144
5_16_20_28_45_50,1.5387548572455424e-09,0.01582033473640317
5_16_20_28_45_55,1.5387548572455424e-09,0.01582033473640317
5_16_20_28_45_60,1.5387548572455424e-09,0.01582033473640317
5_16_20_28_45_65,1.5396495934656316e-09,0.015819963441674387
5_16_20_28_45_70,1.5387548572455424e-09,0.01582033473640317
5_16_20_28_45_75,1.5387548572455424e-09,0.01582033473640317
5_16_20_28_45_80,1.5387548572455424e-09,0.01582033473640317
5_16_20_28_45_85,1.5387548572455424e-09,0.01582033473640317
5_16_20_28_45_90,1.539917257758436e-09,0.015819852367215996
5_16_20_28_45_95,1.5387548572455424e-09,0.01582033473640317
5_16_20_28_50_55,1.54069481603907e-09,0.015822218037179453
5_16_20_28_50_60,1.539979854343998e-09,0.015819826391088383
5_16_20_28_50_65,1.5396495934656316e-09,0.015819963441674387
5_16_20_28_50_70,1.539979854343998e-09,0.015819826391088383
5_16_20_28_50_75,1.539979854343998e-09,0.015819826391088383
5_16_20_28_50_80,1.538914520458336e-09,0.015820268479882035
5_16_20_28_50_85,1.539979854343998e-09,0.015819826391088383
5_16_20_28_50_90,1.539917257758436e-09,0.015819852367215996
5_16_20_28_50_95,1.539979854343998e-09,0.015819826391088383
5_16_20_28_55_60,1.54069481603907e-09,0.015822218037179453
5_16_20_28_55_65,1.5396495934656316e-09,0.015819963441674387
5_16_20_28_55_70,1.54069481603907e-09,0.015822218037179453
5_16_20_28_55_75,1.54069481603907e-09,0.015822218037179453
5_16_20_28_55_80,1.538914520458336e-09,0.015820268479882035
5_16_20_28_55_85,1.54069481603907e-09,0.015822218037179453
5_16_20_28_55_90,1.539917257758436e-09,0.015819852367215996
5_16_20_28_55_95,1.54069481603907e-09,0.015822218037179453
5_16_20_28_60_65,1.5396495934656316e-09,0.015819963441674387
5_16_20_28_60_70,1.5392312660500343e-09,0.015820137037825775
5_16_20_28_60_75,1.5392312660500343e-09,0.015820137037825775
5_16_20_28_60_80,1.538914520458336e-09,0.015820268479882035
5_16_20_28_60_85,1.5392312660500343e-09,0.015820137037825775
5_16_20_28_60_90,1.539917257758436e-09,0.015819852367215996
5_16_20_28_60_95,1.5392312660500343e-09,0.015820137037825775
5_16_20_28_65_70,1.5396495934656316e-09,0.015819963441674387
5_16_20_28_65_75,1.5396495934656316e-09,0.015819963441674387
5_16_20_28_65_80,1.5396495934656316e-09,0.015819963441674387
5_16_20_28_65_85,1.5396495934656316e-09,0.015819963441674387
5_16_20_28_65_90,1.539917257758436e-09,0.015819852367215996
5_16_20_28_65_95,1.5396495934656316e-09,0.015819963441674387
5_16_20_28_70_75,1.5392312660500343e-09,0.015820137037825775
5_16_20_28_70_80,1.538914520458336e-09,0.015820268479882035
5_16_20_28_70_85,1.5392312660500343e-09,0.015820137037825775
5_16_20_28_70_90,1.539917257758436e-09,0.015819852367215996
5_16_20_28_70_95,1.5392312660500343e-09,0.015820137037825775
5_16_20_28_75_80,1.538914520458336e-09,0.015820268479882035
5_16_20_28_75_85,1.5392312660500343e-09,0.015820137037825775
5_16_20_28_75_90,1.539917257758436e-09,0.015819852367215996
